1137	1	3199	0	0
3199	0	7952	0	0
1137	2	7952	0	0
2254	1	3112	0	0
3112	0	6560	0	0
2254	2	6560	0	0
2677	1	3730	0	0
3730	0	6557	0	0
2677	2	6557	0	0
907	1	4526	0	0
4526	0	7542	0	0
907	2	7542	0	0
1531	1	4192	0	0
4192	0	6048	0	0
1531	2	6048	0	0
1261	1	5526	0	0
5526	0	6739	0	0
1261	2	6739	0	0
2803	1	3943	0	0
3943	0	7515	0	0
2803	2	7515	0	0
2474	1	5382	0	0
5382	0	6880	0	0
2474	2	6880	0	0
2655	1	3172	0	0
3172	0	6294	0	0
2655	2	6294	0	0
1747	1	3110	0	0
3110	0	8665	0	0
1747	2	8665	0	0
2477	1	5918	0	0
5918	0	6297	0	0
2477	2	6297	0	0
103	1	3610	0	0
3610	0	7307	0	0
103	2	7307	0	0
2138	1	5389	0	0
5389	0	8017	0	0
2138	2	8017	0	0
702	1	5153	0	0
5153	0	8822	0	0
702	2	8822	0	0
1418	1	4940	0	0
4940	0	8515	0	0
1418	2	8515	0	0
2681	1	4986	0	0
4986	0	8702	0	0
2681	2	8702	0	0
1515	1	3837	0	0
3837	0	7145	0	0
1515	2	7145	0	0
1076	1	3010	0	0
3010	0	6469	0	0
1076	2	6469	0	0
1144	1	5785	0	0
5785	0	6935	0	0
1144	2	6935	0	0
2390	1	3109	0	0
3109	0	7629	0	0
2390	2	7629	0	0
396	1	3391	0	0
3391	0	8928	0	0
396	2	8928	0	0
630	1	4557	0	0
4557	0	8470	0	0
630	2	8470	0	0
585	1	3417	0	0
3417	0	6905	0	0
585	2	6905	0	0
1159	1	3073	0	0
3073	0	8907	0	0
1159	2	8907	0	0
1441	1	3343	0	0
3343	0	6476	0	0
1441	2	6476	0	0
2492	1	3925	0	0
3925	0	8556	0	0
2492	2	8556	0	0
1457	1	5221	0	0
5221	0	7834	0	0
1457	2	7834	0	0
1878	1	3014	0	0
3014	0	8635	0	0
1878	2	8635	0	0
1047	1	5572	0	0
5572	0	6723	0	0
1047	2	6723	0	0
1815	1	5920	0	0
5920	0	7777	0	0
1815	2	7777	0	0
2587	1	4011	0	0
4011	0	7612	0	0
2587	2	7612	0	0
190	1	4745	0	0
4745	0	8044	0	0
190	2	8044	0	0
263	1	5954	0	0
5954	0	8592	0	0
263	2	8592	0	0
490	1	4268	0	0
4268	0	8219	0	0
490	2	8219	0	0
1689	1	4130	0	0
4130	0	8113	0	0
1689	2	8113	0	0
2443	1	3743	0	0
3743	0	6400	0	0
2443	2	6400	0	0
278	1	3050	0	0
3050	0	7993	0	0
278	2	7993	0	0
2194	1	5917	0	0
5917	0	6652	0	0
2194	2	6652	0	0
1269	1	4920	0	0
4920	0	8187	0	0
1269	2	8187	0	0
1735	1	3418	0	0
3418	0	7465	0	0
1735	2	7465	0	0
696	1	5356	0	0
5356	0	6668	0	0
696	2	6668	0	0
871	1	5131	0	0
5131	0	6305	0	0
871	2	6305	0	0
956	1	5074	0	0
5074	0	6989	0	0
956	2	6989	0	0
2687	1	4246	0	0
4246	0	8775	0	0
2687	2	8775	0	0
2972	1	4471	0	0
4471	0	6201	0	0
2972	2	6201	0	0
817	1	4433	0	0
4433	0	6534	0	0
817	2	6534	0	0
2823	1	5513	0	0
5513	0	7619	0	0
2823	2	7619	0	0
15	1	3119	0	0
3119	0	7319	0	0
15	2	7319	0	0
1343	1	4983	0	0
4983	0	8957	0	0
1343	2	8957	0	0
2953	1	4976	0	0
4976	0	7646	0	0
2953	2	7646	0	0
551	1	4481	0	0
4481	0	6072	0	0
551	2	6072	0	0
948	1	4497	0	0
4497	0	7133	0	0
948	2	7133	0	0
393	1	5836	0	0
5836	0	6741	0	0
393	2	6741	0	0
1812	1	5646	0	0
5646	0	7034	0	0
1812	2	7034	0	0
560	1	4060	0	0
